_Name,_DR,_StackNum,_SDP,_SH,_SL,_P,_I,_D,_SV,_OUT,ControlCar,ControlChillerWaterTemp,ControlChillerWaterFlowRate,顺序
富士金电动调节控制UT1,FALSE,1,2,2,3,4,5,9,7,10,1,1,1,1
量热器加热器控制UT2,FALSE,2,2,20,0,2,2,2,20,2,1,1,1,2
卡尔调节阀控制UT3,FALSE,3,2,20,0,3,3,3,20,3,1,0,0,3
卡尔调节阀控制UT4（出水温度）,FALSE,4,2,20,0,4,4,4,20,4,0,1,0,4
卡尔调节阀控制UT4（冷却水流量）,FALSE,4,2,20,0,4,4,4,20,4,0,0,1,5
水箱加热器控制UT5,FALSE,5,2,20,0,5,5,5,20,5,1,1,1,6
压缩机驱动控制UT6,FALSE,6,1,20,0,6,6,6,20,6,1,1,1,7
